"Accession","4087_10_255_LT","4088_12_259","4089_24_270","4107_44_268_LT","4095_2_265","4096_15_260","4090_22_302","4091_23_282","4092_1_308","4093_3_316","4094_14_320","4108_42_297","4109_34_301","4110_18_311","4111_29_305","4112_35_321","4113_17_277","4114_21_267","4115_25_275","4116_20_286","4127_39_304_LT","4128_33_280","4129_31_314","4130_52_331","4131_47_251","4132_55_269","4133_51_258","4134_37_287","4135_45_303","4136_43_299","4147_64_330_LT","4148_62_324"
"Q3T0K2|TCPG_BOVIN","33093.56273","40708.58993","49341.80551","41474.35913","42381.45404","54364.81083","45321.36685","52880.63663","27788.34148","28422.52757","33044.83622","9581.41445","62930.05327","20872.12073","17418.64861","16169.99296","40589.50854","39561.92797","44183.0881","33055.21963","51938.72137","47808.99635","46482.14595","24078.28895","26746.84845","50508.21063","23115.62538","12498.87076","42505.7516","18656.63915","46154.06011","18632.94227"
"E1BHL1|E1BHL1_BOVIN","675676.1128","646198.4591","554512.2178","365657.7115","850244.9233","779476.5504","772964.082","622198.2391","205632.3939","719518.8036","1088350.577","388389.7725","610129.0674","732551.4565","283497.8871","853336.4607","1042087.941","639627.4284","364933.485","859541.7591","675683.9384","521108.7136","547392.9995","964873.2841","418188.5714","809415.2322","627847.6664","259041.6443","375393.8424","651393.4168","630665.8675","258646.1405"
"E1B7W2|E1B7W2_BOVIN","15658495.66","14371243.75","976012.7926","9138549.589","16022674.65","633569.3725","13950633.6","17334571.29","11195323.95","1077367.198","19832243.21","18201743.96","1686531.398","29340258.68","13074962.13","16042713.99","28012330.34","14087124.33","16040111.02","24740529.01","12453224.11","1522714.004","11977841.24","20639358.71","10770389.56","15865850.48","13450675.55","5597540.652","1196771.602","12484461.83","1461176.331","16527888.64"
"A0A3Q1LQC6|A0A3Q1LQC6_BOVIN","154152362.8","148465984.9","175919475","188057660.7","142483290.3","154824180.5","135473271.2","145317100.5","204001423.2","183858069.6","152440629.8","212813099.1","175481722.8","209576608.6","157065668.7","149888724.8","158301451.2","158022728.7","165362357","168314243.9","116970518.3","196801555.1","103687179.4","174835352","129473648.7","127679468.3","148029175.4","157754834","190204102.7","150846426.4","216338639.5","172763408.6"
"E1BE77|E1BE77_BOVIN","2703464.014","2065715.264","3024107.051","2907300.412","2779753.087","2989270.944","2447231.972","2722405.668","2686668.452","2901849.187","2019726.647","2052126.844","2975456.105","2384600.503","2205730.532","1891596.002","2527449.755","2413981.922","2159491.846","2456116.432","2364924.072","2376102.768","2190109.273","2368462.931","2082820.794","2406267.579","2366893.323","2048887.567","3082969.896","2196945.009","2527047.071","2672232.061"
"A0A3Q1LRW6|A0A3Q1LRW6_BOVIN;A0A3Q1LZ40|A0A3Q1LZ40_BOVIN;A0A3Q1MIV3|A0A3Q1MIV3_BOVIN","58796.10206","28122.28771","15439.90752","18429.45488","68982.09727","79427.05124","60305.6014","70937.08495","33395.62379","49468.52074","87096.19543","11161.82241","23297.85495","16260.34977","196481.869","45335.21341","10078.436","159018.1047","39036.56429","22253.53328","8350.715223","6887.654515","65739.95435","9118.997158","6773.764202","8508.141502","23591.75233","243351.7737","77858.91465","61231.62377","120542.5078","47415.43098"
"P68530|COX2_BOVIN","350003.7638","379668.085","3603.576116","6076.563221","526001.6189","588.2093463","410564.0443","2528.343508","82224.22097","2791.063945","640458.6757","8362.609747","2284.842353","192645.2988","56395.34781","107861.0349","484994.7759","220245.9055","7609.214543","388358.6187","224966.4222","2898.578088","181910.5922","143148.6229","63660.57461","33515.70307","44324.83241","68436.57592","1429.712805","127140.8715","6277.154447","18655.39684"
"A0A452DID1|A0A452DID1_BOVIN","3272197.59","2276147.814","108371.3344","1789883.879","1309728.618","66185.72696","2061354.626","1052119.604","893901.7446","176526.4505","3077578.191","4913195.976","238659.2227","3213074.244","1535757.448","3331082.661","2543781.21","1909661.975","872591.7509","3656460.253","2045131.1","370706.5747","1384005.163","3660214.237","1899898.754","2348244.947","1952371.495","1273292.783","207749.7968","2349387.608","283919.3206","1446531.041"
"A0A3Q1LFC5|A0A3Q1LFC5_BOVIN","286256.4327","215521.2986","391427.1419","388795.3517","375894.9488","1017696.619","336501.5125","328041.9469","344381.8389","1263437.008","320076.0234","383463.5051","438981.1749","216139.0167","432342.8116","302617.5987","329841.7889","392694.778","388561.8194","436398.1025","372994.1575","300910.8239","407047.0118","328912.9031","392749.6288","253456.328","258382.0204","412532.3832","539491.5931","384639.3069","641305.0643","339101.9847"
"A0A3Q1MRA1|A0A3Q1MRA1_BOVIN;A0A3Q1N1N0|A0A3Q1N1N0_BOVIN;A0A3Q1MMV3|A0A3Q1MMV3_BOVIN;A0A3Q1N1B8|A0A3Q1N1B8_BOVIN;A0A3Q1MUQ4|A0A3Q1MUQ4_BOVIN;A0A3Q1N7G0|A0A3Q1N7G0_BOVIN;A0A3Q1MBQ9|A0A3Q1MBQ9_BOVIN;A0A3Q1LW46|A0A3Q1LW46_BOVIN","4850776.983","6079376.318","4777000.418","3934041.626","4304550.877","3442516.497","5168609.478","6682394.848","5111208.629","3706996.15","6032877.377","6146065.803","3698119.753","5763306.037","5777008.371","5315764.53","5886020.044","5760892.966","4446037.022","6134092.407","3996877.168","3969660.934","4051089.481","4995585.805","3513215.122","5152722.212","4322932.972","4129197.554","4007122.786","4738489.852","3924527.974","4879307.522"
"A0A3Q1M6K6|A0A3Q1M6K6_BOVIN","10976752.91","7726585.312","9394876.864","11116661.86","17028566.28","15501961.73","8557286.023","8681839.837","7526362.587","11256095.15","15889648.86","7513251.682","12376964.54","10559004.98","9439864.376","10679866.43","15273289.63","10479628.84","7173369.912","11495721.75","11947842.74","9833216.882","12817152.96","12143695.33","9164395.361","9582882.349","10222207.27","8032562.922","8649625.704","8768230.16","15185151.4","13866450.72"
"A0A3Q1MJ97|A0A3Q1MJ97_BOVIN","146587.4025","103857.6329","150689.3577","96824.06541","108331.042","41965.68943","75913.86027","109130.9624","93314.49912","131499.0391","106908.963","123051.2299","76297.4015","90068.96893","102147.7135","78311.81719","51897.463","68094.9549","97126.66254","96930.39982","123521.6234","108655.6497","93080.2467","41691.35112","137929.2395","83001.3686","94101.79052","125232.6699","77683.44954","113132.2825","162048.2267","126171.5506"
"A0A3Q1LLV2|A0A3Q1LLV2_BOVIN","10356.15359","7983.54131","0","10185.60041","11060.58444","5381.238297","5057.34019","18025.13545","16936.21213","20158.47022","23578.68904","11085.56071","0","14545.93827","16881.98908","8226.957959","4484.984852","4713.248013","6913.845061","0","2655.996417","0","469.6961687","13994.13769","7465.233866","2312.002381","0","41840.93927","6882.980636","14461.76664","0","15162.67551"
"F1MDV3|F1MDV3_BOVIN","25264.75883","34341.32134","61217.96107","57403.52781","20441.93795","35447.36902","26482.68944","22998.21213","49532.87449","59069.4607","48853.37766","67309.72281","68928.27558","27315.08558","87894.64355","108578.8434","25333.64547","33741.27936","73410.5106","21666.51976","45274.8435","46813.4198","58237.65674","62790.75566","54916.3101","31676.42277","17653.85635","95515.54084","83295.37359","83512.0719","62774.28242","47271.26307"
"A8YXY4|A8YXY4_BOVIN","4085.080787","16898.42473","5914.068971","6677.155123","33058.33493","24761.30004","20095.59489","9097.094069","5580.760719","36797.88075","10267.38336","3315.167954","20489.65382","7091.853195","8443.663236","13791.90147","25469.65292","1707.183378","7008.364346","10448.31227","0.199822608","21245.93785","28806.92988","23915.80825","17722.31723","12909.89685","9750.760958","20850.83449","25081.40175","17960.51508","24009.54518","4637.671797"
"A0A3Q1N0D1|A0A3Q1N0D1_BOVIN","33863.60849","26559.14236","97506.20928","30243.16503","77102.75997","64498.33627","46418.90331","60316.02847","72002.50641","58877.1718","71970.21597","55131.92661","71942.80389","103354.2419","83193.47094","30558.43826","83252.96251","70874.2614","67685.56514","85526.23331","94208.85627","51090.44373","31648.85911","19127.16025","49576.35278","30324.00072","45943.15493","19831.17212","26318.04564","53741.67212","77906.27084","31732.37458"
"A6QNX5|K2C78_BOVIN","556024.2155","727357.0377","632110.6138","218315.6533","882446.1193","1518224.133","1161234.253","1117223.385","1162277.881","1004300.182","1101706.118","917985.3211","775428.2193","687170.921","813859.8774","817536.1907","650116.5378","868131.1515","726399.9128","906055.4713","853650.8759","1282164.159","805899.7393","994065.1219","604634.3351","911217.7882","949806.6518","910430.2482","1206813.932","851927.9082","558708.9206","868976.9859"
